,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,1,3814.0,5,3278.0
1,8,3833.5,12,3275.0
2,15,3824.0,18,3082.0
3,22,3781.5,25,3089.0
4,29,3747.5,32,3187.5
5,36,3725.0,39,3123.5
6,42,0.0,46,0.0
7,49,0.0,52,0.0
8,56,0.0,59,0.0
9,62,0.0,66,0.0
10,69,0.0,73,0.0
11,76,0.0,79,0.0
12,82,0.0,86,0.0
13,89,0.0,93,0.0
14,96,0.0,100,0.0
15,103,0.0,106,0.0
16,110,0.0,113,0.0
17,116,0.0,120,0.0
18,123,0.0,127,0.0
19,129,0.0,133,0.0
20,136,0.0,140,0.0
21,143,0.0,147,0.0
22,150,0.0,154,0.0
23,157,0.0,161,0.0
24,164,0.0,168,0.0
25,171,0.0,174,0.0
26,178,0.0,182,0.0
27,185,0.0,188,0.0
28,192,0.0,195,0.0
29,199,0.0,202,0.0
30,206,0.0,210,0.0
31,213,0.0,217,0.0
32,220,0.0,224,0.0
33,227,0.0,231,0.0
34,234,0.0,238,0.0
35,241,0.0,245,0.0
36,248,0.0,252,0.0
37,255,0.0,259,0.0
38,262,0.0,266,0.0
39,269,0.0,272,0.0
40,276,0.0,279,0.0
41,283,0.0,286,0.0
42,290,0.0,293,0.0
43,296,0.0,300,0.0
