,end_diastole_frame,end_systole_frame
0,4,5
1,10,11
2,17,18
3,24,25
4,30,31
5,37,38
6,43,44
7,49,50
8,56,57
9,63,64
10,69,70
11,76,77
12,83,84
13,89,90
14,95,96
15,101,102
16,108,109
17,114,115
18,120,121
19,126,127
20,132,133
21,139,140
22,145,146
23,152,153
24,159,160
25,166,167
26,172,173
27,179,180
28,186,187
29,192,193
30,198,199
31,204,205
32,210,211
33,217,218
34,223,224
35,229,230
36,235,236
37,241,242
38,248,249
39,255,256
40,260,261
41,266,267
42,272,273
43,279,280
44,285,286
45,292,293
